time_start,time_end,model,launch_place,target,launched,destroyed,source,category,national_origin,type,manufacturer,destroyed_ratio,year,month,day,day_of_week,latitude,longitude
2024-08-11,2024-08-11 08:00,Shahed-136/131,Primorsko-Akhtarsk,Ukraine,57.0,53,kpszsu/posts/pfbid0ANj9EKMeX3hTcbS4B1b8iD4N8WiLmShgFaRNspgLTAeB7CCgyb3wEBAiAPEUcEwVl,UAV,iran,loitering munition,Shahed Aviation Industries,92.98,2024,8,11,Sunday,,
2024-08-11,2024-08-11 08:00,KN-23,Voronezh,Ukraine,4.0,0,kpszsu/posts/pfbid0ANj9EKMeX3hTcbS4B1b8iD4N8WiLmShgFaRNspgLTAeB7CCgyb3wEBAiAPEUcEwVl,,,,,0.0,2024,8,11,Sunday,,
2024-08-10,2024-08-10,Supercam,,south,1.0,1,PvKPivden/posts/pfbid02C85BZwDEmvRwdBeKjrEmyRTosqJQZ2BV9phrUfFG7Wc4FcQxk3aNdcwLT1YgBwS8l,UAV,russia,reconnaissance,Unmanned Systems Group,100.0,2024,8,10,Saturday,,
2024-08-09,2024-08-09 08:00,Shahed-136/131,Primorsko-Akhtarsk,Ukraine,27.0,27,kpszsu/posts/pfbid0EwESeEmPg3oaXxR6vnrXXL63E6S8MYLFKmNNEgn69qvy6YUzBXGEmPcoVnETvrM8l,UAV,iran,loitering munition,Shahed Aviation Industries,100.0,2024,8,9,Friday,,
2024-08-09,2024-08-09,Supercam,,south,2.0,2,PvKPivden/posts/pfbid031F4ApTpBPG4p8iVfV5osrGnfVBAhXf9FhmfCwv9bm7gUe5aADuXP9hNLjiXyUH4kl,UAV,russia,reconnaissance,Unmanned Systems Group,100.0,2024,8,9,Friday,,
2024-08-08,2024-08-08 08:00,X-59,Sea of Azov,south,2.0,2,kpszsu/posts/pfbid02DobWfydaT876zZy63uy3y9sR9Y36opd4wBn2JxmhdzQTmvCidKdhazDsTbmmkiRyl,cruise missile,russia,"air-launched, air-to-surface, anti-ship, land-attack",Tactical Missiles Corporation,100.0,2024,8,8,Thursday,,
2024-08-08,2024-08-08 08:00,Shahed-136/131,Yeysk,Ukraine,4.0,4,kpszsu/posts/pfbid02DobWfydaT876zZy63uy3y9sR9Y36opd4wBn2JxmhdzQTmvCidKdhazDsTbmmkiRyl,UAV,iran,loitering munition,Shahed Aviation Industries,100.0,2024,8,8,Thursday,,
2024-08-08,2024-08-08 08:00,Iskander-M,Belgorod,Kharkiv oblast,2.0,0,kpszsu/posts/pfbid02DobWfydaT876zZy63uy3y9sR9Y36opd4wBn2JxmhdzQTmvCidKdhazDsTbmmkiRyl,ballistic missile,russia,TV-guided,,0.0,2024,8,8,Thursday,,
2024-08-08,2024-08-08,ZALA,,south,1.0,1,PvKPivden/posts/pfbid02S8A9EW9ATBrBcAwLH4St1LjVnHfFZg1WFJarfzCQRL1L5St335x4DG1zXawSEcPul,UAV,russia,reconnaissance,ZALA Aero Group,100.0,2024,8,8,Thursday,,
2024-08-08,2024-08-08,Orlan-10,,south,1.0,1,PvKPivden/posts/pfbid02S8A9EW9ATBrBcAwLH4St1LjVnHfFZg1WFJarfzCQRL1L5St335x4DG1zXawSEcPul,UAV,russia,reconnaissance,Special Technology Center,100.0,2024,8,8,Thursday,,
2024-08-07,2024-08-07 08:00,Shahed-136/131,Primorsko-Akhtarsk,Ukraine,30.0,30,kpszsu/posts/pfbid02XttMDyV6PQPcu1FVRbSMM6FXqLr4mJeLg5ATQL28nzoqj2pTEjCDQd8taDuezuKXl,UAV,iran,loitering munition,Shahed Aviation Industries,100.0,2024,8,7,Wednesday,,
2024-08-07,2024-08-07,ZALA,,south,2.0,2,PvKPivden/posts/pfbid02odLXRjaJbUnp3FBwP1Rz6xj49yiL1WMWRbihiF6pQRTN2DNc81RMtyMkY9PPWWfXl,UAV,russia,reconnaissance,ZALA Aero Group,100.0,2024,8,7,Wednesday,,
2024-08-07,2024-08-07,Orion,,south,1.0,1,PvKPivden/posts/pfbid02odLXRjaJbUnp3FBwP1Rz6xj49yiL1WMWRbihiF6pQRTN2DNc81RMtyMkY9PPWWfXl,UAV,russia,reconnaissance and armed,Kronstadt Group,100.0,2024,8,7,Wednesday,,
2024-08-06,2024-08-06 08:00,X-59,Sea of Azov,Ukraine,2.0,2,kpszsu/posts/pfbid02XttMDyV6PQPcu1FVRbSMM6FXqLr4mJeLg5ATQL28nzoqj2pTEjCDQd8taDuezuKXl,cruise missile,russia,"air-launched, air-to-surface, anti-ship, land-attack",Tactical Missiles Corporation,100.0,2024,8,6,Tuesday,,
2024-08-06,2024-08-06 08:00,Shahed-136/131,"Chauda, Crimea",Ukraine,16.0,15,kpszsu/posts/pfbid02XttMDyV6PQPcu1FVRbSMM6FXqLr4mJeLg5ATQL28nzoqj2pTEjCDQd8taDuezuKXl,UAV,iran,loitering munition,Shahed Aviation Industries,93.75,2024,8,6,Tuesday,,
